s_date,isin,rate
2013년 6월 28일, 비보존 헬스케어 (082800),1.041:1
2013년 6월 27일, SBW생명과학 (151910),1.15:1
2013년 6월 17일, 오리엔트바이오 (002630),1.052:1
2013년 6월 13일, 리노공업 (058470),1.9:1
2013년 6월 10일, 상상인증권 (001290),1:1.49
2013년 6월 7일, 녹십자 (006280),1.05:1
2013년 6월 4일, 브리지텍 (064480),1.4:1
, 우림피티에스 (101170),1.5:1
, 투비소프트 (079970),2:01
2013년 5월 29일, 셀바스AI (108860),1.079:1
2013년 5월 28일, 형지I&C (011080),1.266:1
2013년 5월 27일, 셀루메드 (049180),1:05
2013년 5월 22일, KT서브마린 (060370),5:01
, 태평양물산 (007980),10:01
2013년 5월 20일, NICE (034310),10:01
, 삼보판지 (023600),10:01
, 상상인증권 (001290),1.96:1
2013년 5월 15일, 고려산업 (002140),5:01
2013년 5월 14일, 대성산업 (128820),1.284:1
, 애머릿지 (900100),2:01
2013년 5월 10일, NICE평가정보 (030190),2:01
2013년 5월 9일, SBW생명과학 (151910),1.041:1
, 대명소노시즌 (007720),5:01
, 대한해운 (005880),1:15
2013년 5월 7일, 한세예스24홀딩스 (016450),1.26:1
2013년 5월 2일, 액토즈소프트 (052790),1.042:1
2013년 4월 30일, NICE (034310),10:01
, 셀루메드 (049180),1:05
, 에이프로젠 MED (007460),1:05
, 웅진 (016880),1:09
, 태평양물산 (007980),10:01
2013년 4월 29일, KT서브마린 (060370),5:01
2013년 4월 26일, 삼보판지 (023600),10:01
2013년 4월 25일, 고려산업 (002140),5:01
, 아이디스 (143160),3:01
2013년 4월 24일, NICE평가정보 (030190),2:01
2013년 4월 22일, 대명소노시즌 (007720),5:01
, 씨티씨바이오 (060590),1.1:1
2013년 4월 19일, 녹십자 (006280),1.017:1
, 우리종금 (010050),1:3.3
, 코리아써키트 (007810),1.074:1
2013년 4월 15일, 사람인에이치알 (143240),1.095:1
, 파트론 (091700),1.4:1
2013년 4월 10일, 제이스텍 (090470),1.5:1
, 진흥기업 (002780),1:03
, 진흥기업2우B (002787),1:03
, 진흥기업우B (002785),1:03
2013년 4월 8일, 동아쏘시오홀딩스 (000640),1:2.69
2013년 4월 5일, 와이솔 (122990),1.3:1
2013년 4월 4일, ES큐브 (050120),1.133:1
2013년 4월 3일, 이화전기 (024810),1.051:1
, 파인테크닉스 (106240),1.12:1
2013년 3월 29일, 진양산업 (003780),1.001:1
2013년 3월 28일, 금호건설 (002990),1:07
, 금호산업우 (002995),1:07
2013년 3월 27일, 대한해운 (005880),1:15
, 에이프로젠 MED (007460),1:05
2013년 3월 22일, 셀트리온 (068270),1:02
2013년 3월 21일, 진흥기업 (002780),1:03
2013년 3월 18일, 대원산업 (005710),1.15:1
, 웅진 (016880),1:03
2013년 3월 5일, 씨티씨바이오 (060590),1.022:1
2013년 3월 4일, 셀트리온 (068270),1:02
2013년 2월 28일, 금호건설 (002990),1:07
, 금호산업우 (002995),1:07
2013년 2월 27일, 알톤스포츠 (123750),1.3:1
, 웅진 (016880),1:05
2013년 2월 22일, 키이스트 (054780),5:01
2013년 2월 21일, 미원상사 (002840),1.02:1
2013년 2월 19일, 아이디스 (143160),1.036:1
2013년 2월 15일, 남광토건 (001260),1:40
2013년 2월 13일, 네오리진 (094860),1.128:1
2013년 2월 7일, 엠게임 (058630),1.042:1
, 키이스트 (054780),5:01
2013년 2월 1일, HJ중공업 (097230),1.086:1
, 도화엔지니어링 (002150),2:01
2013년 1월 31일, 대원제약 (003220),1.1:1
, 푸드웰 (005670),2:01
2013년 1월 30일, 에스엠코어 (007820),1.05:1
2013년 1월 28일, 동원시스템즈 (014820),1:10
, 동원시스템즈우 (014825),1:10
2013년 1월 16일, 씨젠 (096530),1.25:1
2013년 1월 14일, 남광토건 (001260),1:8.01
2013년 1월 11일, 광무 (029480),1:10
, 와이오엠 (066430),1:04
2013년 1월 10일, 이엔플러스 (074610),1:04
2013년 1월 7일, 대양금속 (009190),1:10.52
, 시티랩스 (139050),1.5:1
