s_date,isin,rate
2021년 9월 8일, 네오리진 (094860),1.15:1
, 브레인콘텐츠 (066980),2:01
, 한일시멘트 (300720),10:01
2021년 9월 6일, KD건설 (044180),1.088:1
2021년 9월 2일, 강스템바이오텍 (217730),1.13:1
, 씨앤씨인터내셔널 (352480),1.5:1
2021년 9월 1일, 이녹스첨단소재 (272290),2:01
2021년 8월 31일, 브랜드엑스 (337930),1.5:1
2021년 8월 26일, K Ensol (053080),3:01
2021년 8월 25일, 이브이첨단소재 (131400),2:01
2021년 8월 24일, 압타바이오 (293780),2:01
, 쿠쿠홀딩스 (192400),5:01
2021년 8월 20일, 국도화학 (007690),1.227:1
2021년 8월 19일, 국도화학 (007690),1.227:1
, 파멥신 (208340),1.25:1
2021년 8월 17일, 디케이티 (290550),2:01
, 에어부산 (298690),1.279:1
, 에이티세미콘 (089530),1.253:1
2021년 8월 6일, GH신소재 (130500),1.062:1
2021년 8월 3일, 체리부로 (066360),1.152:1
2021년 8월 2일, 더네이쳐 (298540),2:01
, 제이준코스메틱 (025620),1.2:1
2021년 7월 29일, 에코프로에이치엔 (383310),4:01
2021년 7월 28일, CBI (013720),5:01
2021년 7월 27일, 드래곤플라이 (030350),1.13:1
2021년 7월 22일, 노랑풍선 (104620),3:01
, 큐브엔터 (182360),2:01
, 펨토바이오메드 (327610),1.5:1
2021년 7월 19일, PHC (057880),1.074:1
, 에이루트 (096690),6:01
2021년 7월 16일, 보령 (003850),1.2:1
, 코디엠 (224060),1:10
2021년 7월 15일, 세원이앤씨 (091090),2:01
, 앤디포스 (238090),1:2.5
2021년 7월 8일, 흥아해운 (003280),1:04
2021년 7월 7일, 콤텍시스템 (031820),1.206:1
2021년 7월 6일, 에이티세미콘 (089530),1.095:1
2021년 7월 5일, 티앤엘 (340570),2:01
2021년 7월 2일, 에이디칩스 (054630),1.153:1
, 큐브엔터 (182360),1:05
, 특수건설 (026150),1.022:1
2021년 7월 1일, 위즈코프 (038620),1.5:1
2021년 6월 30일, 포시에스 (189690),1.05:1
2021년 6월 28일, 아이진 (185490),1.2:1
2021년 6월 25일, STX (011810),1.089:1
, 앤디포스 (238090),1:2.5
2021년 6월 24일, 씨유메디칼 (115480),1.137:1
2021년 6월 22일, CBI (013720),5:01
, 로보로보 (215100),1.03:1
2021년 6월 18일, 넥스턴 (089140),3:01
2021년 6월 17일, 쌍용정보통신 (010280),1.16:1
, 아세아텍 (050860),1.307:1
, 인텔리안테크 (189300),1.046:1
, 흥아해운 (003280),1:4.47
2021년 6월 16일, 아이윈 (090150),1.28:1
, 에스에너지 (095910),1.06:1
2021년 6월 15일, 알리코제약 (260660),1.5:1
, 엘앤에프 (066970),1.04:1
2021년 6월 14일, 큐브엔터 (182360),1:05
2021년 6월 11일, 위더스제약 (330350),1.5:1
2021년 6월 8일, WestRise (064090),1:10
2021년 6월 7일, 더메디팜 (118000),1.125:1
2021년 6월 4일, 해성옵틱스 (076610),1.241:1
2021년 6월 3일, KC코트렐 (119650),1.069:1
, YM (007530),1.5:1
, 레이 (228670),2:01
, 영화테크 (265560),2:01
2021년 6월 2일, RFHIC (218410),1.025:1
, 보령 (003850),1.022:1
, 세동 (053060),1.114:1
, 애머릿지 (900100),1:05
2021년 6월 1일, 수성 (084180),2:01
2021년 5월 31일, 대유 (290380),1.5:1
2021년 5월 28일, 에코프로 (086520),1:1.2
, 예스24 (053280),1.453:1
2021년 5월 27일, LG (003550),1:1.1
, LG우 (003555),1:1.1
, 디와이디대양 (219550),1:10
2021년 5월 26일, 애드바이오텍 (179530),3:01
2021년 5월 25일, 초록뱀컴퍼니 (052300),1:05
2021년 5월 24일, Equipments Cell (160600),1:10
, 스템랩 (258540),3:01
, 이화전기 (024810),1:10
2021년 5월 21일, F&F홀딩스 (007700),1:1.99
2021년 5월 20일, 쌍용정보통신 (010280),1:01
2021년 5월 14일, 노블엠앤비 (106520),1:05
, 피플바이오 (304840),2:01
2021년 5월 13일, 아이진 (185490),1.099:1
, 에이티세미콘 (089530),1.036:1
, 코스맥스 (192820),1.02:1
2021년 5월 12일, 애머릿지 (900100),1:05
2021년 5월 11일, 위드텍 (348350),2:01
2021년 5월 10일, 쏠리드 (050890),1.028:1
2021년 5월 6일, 에이티세미콘 (089530),1:10
2021년 5월 4일, 덴티스 (261200),1:05
, 디와이디대양 (219550),1:10
, 웹케시 (053580),2:01
2021년 5월 3일, 국전약품 (307750),1.049:1
, 에이트원 (230980),3:01
, 파라텍 (033540),2.5:1
2021년 5월 1일, LG (003550),1:1.1
, 에코프로 (086520),1:1.2
2021년 4월 30일, Equipments Cell (160600),1:10
, 대한해운 (005880),1.073:1
, 미래산업 (025560),1:05
, 쌍용정보통신 (010280),1:02
, 초록뱀컴퍼니 (052300),1:05
2021년 4월 29일, 대한제당 (001790),2:01
, 대한제당우 (001795),2:01
, 판타지오 (032800),1.122:1
2021년 4월 28일, 장원테크 (174880),1:05
, 하나제약 (293480),1.1:1
2021년 4월 26일, 한독크린텍 (256150),2:01
2021년 4월 23일, 노블엠앤비 (106520),1:05
, 씨젠 (096530),2:01
2021년 4월 22일, 우진플라임 (049800),2:01
2021년 4월 21일, 한화시스템 (272210),1.118:1
2021년 4월 20일, 휴맥스 (115160),1.084:1
2021년 4월 19일, 우성 (006980),1:10
2021년 4월 16일, 하이브 (352820),1.01:1
2021년 4월 15일, 에이원알폼 (234070),1:15
, 한국석유 (004090),2:01
2021년 4월 14일, 덴티스 (261200),1:05
, 에이티세미콘 (089530),1:10
2021년 4월 13일, 노블엠앤비 (106520),1:02
, 미래산업 (025560),1:05
, 파라텍 (033540),2.5:1
, 펄어비스 (263750),5:01
2021년 4월 12일, TS인베스트먼트 (246690),1.5:1
, 나노브릭 (286750),2:01
, 장원테크 (174880),1:05
, 카카오 (035720),5:01
, 한국석유 (004090),10:01
2021년 4월 9일, 대한제당 (001790),5:01
, 대한제당우 (001795),5:01
2021년 4월 8일, HD현대 (267250),5:01
, 고영 (098460),5:01
, 세기상사 (002420),10:01
, 제놀루션 (225220),2:01
2021년 4월 7일, 마니커에프앤지 (195500),1.121:1
, 삼일제약 (000520),2:01
, 판타지오 (032800),5:01
2021년 4월 6일, 포인트모바일 (318020),2:01
2021년 4월 5일, Welkeeps Hitech (043590),1:1.33
, 하이스틸 (071090),10:01
2021년 4월 1일, 비피도 (238200),2:01
, 우성 (006980),1:10
, 제일바이오 (052670),2:01
, 크리스탈지노믹스 (083790),1.5:1
2021년 3월 31일, 나무가 (190510),2:01
, 하이스틸 (071090),10:01
2021년 3월 30일, Panacea (058530),1:10
, 유유제약 (000220),2:01
, 유유제약1우 (000225),2:01
, 유유제약2우B (000227),2:01
, 제이브이엠 (054950),2:01
2021년 3월 29일, 올리패스 (244460),1.5:1
2021년 3월 26일, 메디콕스 (054180),1.1:1
, 브레인콘텐츠 (066980),1:10
2021년 3월 25일, 씨티케이코스메틱스 (260930),2:01
, 이엘피 (063760),2:01
2021년 3월 24일, 알테오젠 (196170),1.5:1
2021년 3월 22일, 자이에스앤디 (317400),1.074:1
, 코아시아옵틱스 (196450),1:05
, 하나기술 (299030),2:01
2021년 3월 19일, 와이투솔루션 (011690),1:02
2021년 3월 18일, 황금에스티 (032560),1.143:1
2021년 3월 17일, 이원다이애그노믹스 (245620),2:01
, 화일약품 (061250),3:01
2021년 3월 16일, TS트릴리온 (317240),1.8:1
2021년 3월 15일, HLB (028300),2:01
, Welkeeps Hitech (043590),1:1.33
, 다원시스 (068240),1.036:1
, 에이치엘비생명과학 (067630),2:01
, 화승코퍼레이션 (013520),1:1.38
2021년 3월 11일, Panacea (058530),1:10
, 지누스 (013890),1.1:1
2021년 3월 8일, 아이큐어 (175250),1.2:1
, 티에스아이 (277880),2:01
2021년 3월 5일, 브레인콘텐츠 (066980),1:10
2021년 3월 3일, 엔텔스 (069410),1.5:1
, 엠투아이 (347890),2:01
, 위세아이텍 (065370),1.5:1
2021년 3월 2일, KX (122450),2:01
, 국제약품 (002720),1.05:1
, 동구바이오제약 (006620),3:01
, 코아시아옵틱스 (196450),1:05
2021년 2월 26일, DSC인베스트먼트 (241520),1.5:1
, 멕아이씨에스 (058110),2:01
2021년 2월 25일, 화승코퍼레이션 (013520),1:1.38
2021년 2월 24일, 동양에스텍 (060380),2:01
2021년 2월 18일, 대원제약 (003220),1.05:1
2021년 2월 17일, 에브리봇 (270660),4:01
2021년 2월 16일, 푸른기술 (094940),1.3:1
2021년 2월 9일, 에이에프더블류 (312610),2:01
2021년 2월 8일, 씨에스윈드 (112610),2:01
2021년 2월 1일, 셀리버리 (268600),2:01
, 풍산홀딩스 (005810),1.5:1
2021년 1월 29일, Welkeeps Hitech (043590),1:1.25
, 아우딘퓨쳐스 (227610),2.014:1
2021년 1월 28일, 카페24 (042000),2:01
2021년 1월 27일, KH 필룩스 (033180),1.078:1
2021년 1월 26일, 롯데리츠 (330590),1.027:1
2021년 1월 25일, DL (000210),1:2.25
, DL우 (000215),1:2.25
, ES큐브 (050120),1:10
, 대한항공 (003490),1.29:1
, 대한항공우 (003495),1.29:1
, 유니테크노 (241690),2:01
2021년 1월 22일, 인성정보 (033230),1.2:1
2021년 1월 19일, 제넨바이오 (072520),1.5:1
2021년 1월 18일, 한화솔루션 (009830),1.032:1
, 한화케미칼우 (009835),1.032:1
, 홈센타홀딩스 (060560),1.128:1
2021년 1월 15일, 아시아나항공 (020560),1:03
, 와이투솔루션 (011690),1:02
2021년 1월 14일, 멕아이씨에스 (058110),1.035:1
2021년 1월 13일, 넥스틴 (348210),3:01
2021년 1월 12일, S D (260970),10:01
2021년 1월 7일, ES큐브 (050120),1:10
